Node,ID,X,Y,Demand,Kind
0,T01,777.13,8441.76,0.68,Turbine
1,T02,7966.26,8905.55,2.82,Turbine
2,T03,2782.4,9644.66,2.65,Turbine
3,T04,8474.92,9312.56,2.47,Turbine
4,T05,8679.91,9079.79,2.84,Turbine
5,T06,7730.32,5876.07,1.97,Turbine
6,T07,1044.44,9767.8,0.71,Turbine
7,T08,10658.29,9613.21,1.19,Turbine
8,T09,9633.06,9636.14,2.26,Turbine
9,T10,8204.36,9189.04,0.81,Turbine
10,T11,8928.07,6274.19,1.49,Turbine
11,T12,8870.12,9446.02,1.14,Turbine
12,T13,6865.44,4773.66,1.75,Turbine
13,T14,7017.47,4398.56,1.14,Turbine
14,T15,2039.57,9739.96,0.84,Turbine
15,T16,7621.97,6775.55,1.4,Turbine
16,T17,9812.76,10151.91,2.34,Turbine
17,T18,2212.0,10356.15,2.88,Turbine
18,T19,6360.75,6086.49,2.52,Turbine
19,T20,594.19,8711.4,2.57,Turbine
20,T21,8164.86,9550.99,0.81,Turbine
21,T22,10559.34,8967.77,2.42,Turbine
22,T23,10143.29,8998.97,2.18,Turbine
23,T24,9717.89,8956.43,2.02,Turbine
24,T25,7112.56,5137.95,0.64,Turbine
25,T26,1127.01,9232.17,1.45,Turbine
26,T27,9488.82,10310.86,2.89,Turbine
27,T28,8761.89,10101.93,2.14,Turbine
28,T29,8956.24,9006.98,2.86,Turbine
29,T30,7277.63,4851.82,1.88,Turbine
30,T31,1673.87,8131.69,0.53,Turbine
31,T32,8203.66,8108.54,2.86,Turbine
32,T33,6936.87,5596.61,1.43,Turbine
33,T34,2082.73,8555.35,1.38,Turbine
34,T35,10417.31,8558.41,1.45,Turbine
35,T36,8655.94,5413.96,1.5,Turbine
36,T37,8373.17,8909.38,1.81,Turbine
37,T38,8660.93,1523.02,2.42,Turbine
38,T39,7538.53,7840.63,0.58,Turbine
39,T40,8095.19,5236.72,2.94,Turbine
40,T41,9935.1,1315.43,2.16,Turbine
41,T42,7531.34,5079.93,1.3,Turbine
42,T43,9735.11,991.78,1.63,Turbine
43,T44,2773.88,10295.26,1.0,Turbine
44,T45,7159.75,4010.69,1.18,Turbine
45,T46,10398.86,9402.84,1.17,Turbine
46,T47,11257.97,9190.63,1.71,Turbine
47,T48,9859.57,10839.8,1.84,Turbine
48,T49,2572.59,11371.79,0.81,Turbine
49,T50,9711.66,699.1,2.76,Turbine
50,T51,214.92,8657.37,2.79,Turbine
51,T52,1275.91,8633.21,2.34,Turbine
52,T53,6661.37,5819.83,1.44,Turbine
53,T54,7917.2,9368.41,2.37,Turbine
54,T55,1970.47,8209.91,1.56,Turbine
55,T56,8656.2,909.81,2.45,Turbine
56,T57,11375.81,8612.97,2.85,Turbine
57,T58,6444.73,5314.26,1.24,Turbine
58,T59,2037.75,11027.87,2.21,Turbine
59,T60,9493.86,9864.98,0.81,Turbine
60,T61,2373.93,10728.19,1.86,Turbine
61,T62,2261.12,8234.36,1.09,Turbine
62,T63,8651.55,6243.75,2.16,Turbine
63,T64,9694.09,1600.54,1.67,Turbine
64,T65,10296.05,9863.67,0.67,Turbine
65,T66,8868.43,6751.64,2.53,Turbine
66,T67,9470.75,5477.36,2.0,Turbine
67,T68,8013.86,7659.46,1.18,Turbine
68,T69,7186.6,8079.85,1.9,Turbine
69,T70,9269.54,1418.42,0.85,Turbine
70,T71,8390.15,8517.95,1.47,Turbine
71,T72,10453.39,10717.95,1.19,Turbine
72,T73,9811.23,9201.57,2.02,Turbine
73,T74,9130.6,8711.56,2.25,Turbine
74,T75,8281.39,6857.33,1.77,Turbine
75,T76,2255.69,11375.84,2.91,Turbine
76,T77,1799.18,10277.18,1.62,Turbine
77,T78,1441.44,8962.88,2.73,Turbine
78,T79,8281.1,7850.5,1.74,Turbine
79,T80,6099.81,4947.43,2.07,Turbine
80,T81,9005.16,5954.56,0.9,Turbine
81,T82,9999.42,9551.41,2.76,Turbine
82,T83,1634.82,8705.9,1.61,Turbine
83,T84,7329.7,8442.0,2.29,Turbine
84,T85,7471.51,6165.18,2.11,Turbine
85,T86,1906.34,8838.22,2.13,Turbine
86,T87,7583.24,4324.24,2.75,Turbine
87,T88,7341.69,5481.37,1.23,Turbine
88,T89,3110.59,11295.87,2.95,Turbine
89,T90,10208.85,1073.89,1.6,Turbine
90,T91,7835.2,7865.92,1.9,Turbine
91,T92,10749.05,8474.46,1.22,Turbine
92,T93,6934.44,5959.12,0.74,Turbine
93,T94,10385.68,11341.51,2.57,Turbine
94,T95,3178.01,9773.82,1.33,Turbine
95,T96,9428.0,352.38,2.88,Turbine
96,T97,8118.34,5902.6,1.12,Turbine
97,T98,9798.66,10438.72,0.58,Turbine
98,T99,7255.9,6011.81,2.75,Turbine
99,T100,10295.73,178.68,2.77,Turbine
100,S01,9940.37,8138.09,0.0,Substation
101,S02,10101.59,6879.72,0.0,Substation
102,S03,6586.68,10555.52,0.0,Substation
103,S04,5938.86,453.7,0.0,Substation
104,S05,533.71,7504.14,0.0,Substation
105,S06,10857.72,9419.12,0.0,Substation
106,S07,5400.45,4375.34,0.0,Substation
107,S08,9504.18,6083.27,0.0,Substation
108,S09,10008.88,542.34,0.0,Substation
109,S10,2754.39,5412.01,0.0,Substation
num_vessels,8
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,5
