Node,ID,X,Y,Demand,Kind
0,T01,4367.7,3550.95,1.82,Turbine
1,T02,8987.51,7037.87,2.45,Turbine
2,T03,9089.08,7772.0,2.85,Turbine
3,T04,8989.79,7357.65,1.13,Turbine
4,T05,1627.13,1442.19,1.37,Turbine
5,T06,9462.29,10341.58,0.73,Turbine
6,T07,7749.12,7779.13,1.02,Turbine
7,T08,10621.59,2436.11,2.21,Turbine
8,T09,6317.93,5504.69,2.27,Turbine
9,T10,3950.63,2487.3,1.41,Turbine
10,T11,2931.23,2938.97,2.17,Turbine
11,T12,10271.94,9828.54,2.23,Turbine
12,T13,2422.49,1628.4,0.55,Turbine
13,T14,1599.18,8085.48,2.68,Turbine
14,T15,9007.02,2667.4,2.33,Turbine
15,T16,9710.3,9711.47,1.83,Turbine
16,T17,2892.86,2354.45,2.63,Turbine
17,T18,10086.56,7473.74,1.86,Turbine
18,T19,23.95,7393.0,0.78,Turbine
19,T20,836.21,1022.73,2.82,Turbine
20,T21,1879.63,7640.45,1.18,Turbine
21,T22,1298.38,7772.94,2.37,Turbine
22,T23,2326.85,2743.58,2.46,Turbine
23,T24,9445.45,2412.81,1.88,Turbine
24,T25,7369.65,7446.86,1.01,Turbine
25,T26,8980.53,1454.02,2.86,Turbine
26,T27,7316.44,6692.96,2.25,Turbine
27,T28,10212.79,1553.6,2.87,Turbine
28,T29,8639.44,2202.16,0.84,Turbine
29,T30,4291.28,3978.48,2.85,Turbine
30,T31,4182.49,2650.43,0.77,Turbine
31,T32,960.63,7333.49,2.23,Turbine
32,T33,1170.06,8372.61,2.94,Turbine
33,T34,4956.46,3623.04,1.78,Turbine
34,T35,9755.29,9262.56,1.59,Turbine
35,T36,10129.4,1793.76,1.64,Turbine
36,T37,1573.55,6869.88,2.49,Turbine
37,T38,3909.48,3358.64,0.97,Turbine
38,T39,7058.27,9128.89,2.82,Turbine
39,T40,9234.5,1861.38,2.35,Turbine
40,T41,7962.06,8203.85,2.14,Turbine
41,T42,733.16,2242.33,1.1,Turbine
42,T43,2623.21,3002.22,1.26,Turbine
43,T44,9161.7,8839.34,2.65,Turbine
44,T45,6063.24,7068.15,2.99,Turbine
45,T46,6432.9,7698.45,1.02,Turbine
46,T47,4501.36,3801.51,2.48,Turbine
47,T48,4511.7,2437.71,0.66,Turbine
48,T49,1249.32,1506.32,0.63,Turbine
49,T50,842.75,7806.69,0.79,Turbine
50,T51,4451.26,3188.5,0.72,Turbine
51,T52,3614.62,2349.4,2.74,Turbine
52,T53,11111.56,2075.14,2.38,Turbine
53,T54,6017.47,5865.2,2.66,Turbine
54,T55,3215.42,2498.47,1.48,Turbine
55,T56,9041.06,2091.54,2.52,Turbine
56,T57,6690.38,5989.06,2.57,Turbine
57,T58,9906.55,10221.31,2.33,Turbine
58,T59,2478.5,2473.88,1.98,Turbine
59,T60,8330.22,7710.25,0.91,Turbine
60,T61,5024.56,4134.56,2.27,Turbine
61,T62,10388.92,8956.42,1.84,Turbine
62,T63,10026.7,9922.71,2.15,Turbine
63,T64,2082.51,1890.0,0.78,Turbine
64,T65,5422.56,2360.44,1.8,Turbine
65,T66,9159.28,2374.23,0.57,Turbine
66,T67,9669.55,1738.49,0.76,Turbine
67,T68,1513.61,7408.73,0.64,Turbine
68,T69,5442.26,3369.95,0.79,Turbine
69,T70,6548.49,7018.15,1.99,Turbine
70,T71,3206.37,2208.82,2.78,Turbine
71,T72,7579.42,8525.98,1.15,Turbine
72,T73,8739.75,7194.8,0.52,Turbine
73,T74,5621.33,3656.62,0.86,Turbine
74,T75,133.68,8178.44,1.17,Turbine
75,T76,1009.3,2711.03,2.15,Turbine
76,T77,1191.12,8109.4,1.83,Turbine
77,T78,5844.11,6694.12,0.68,Turbine
78,T79,5913.53,2308.34,0.72,Turbine
79,T80,10097.27,8136.99,1.83,Turbine
80,T81,5040.26,2038.52,1.56,Turbine
81,T82,659.64,8341.22,2.17,Turbine
82,T83,8934.27,9467.83,1.66,Turbine
83,T84,1819.71,2292.55,2.05,Turbine
84,T85,6251.85,6000.06,2.36,Turbine
85,T86,7442.66,8291.36,1.48,Turbine
86,T87,2480.22,2112.83,1.43,Turbine
87,T88,9225.25,8002.69,2.44,Turbine
88,T89,4062.82,2232.04,1.59,Turbine
89,T90,7983.36,7378.3,1.65,Turbine
90,T91,5150.5,3185.95,2.6,Turbine
91,T92,9992.95,2116.9,1.71,Turbine
92,T93,6900.86,6485.97,2.46,Turbine
93,T94,10203.35,8686.35,0.66,Turbine
94,T95,939.27,1574.77,0.72,Turbine
95,T96,8714.58,7996.28,1.84,Turbine
96,T97,10326.84,1984.63,2.67,Turbine
97,T98,1351.91,8666.39,2.96,Turbine
98,T99,4146.58,3669.86,1.37,Turbine
99,T100,5146.21,3880.17,1.28,Turbine
100,S01,4562.05,6297.3,0.0,Substation
101,S02,9554.46,9108.15,0.0,Substation
102,S03,9475.03,9891.41,0.0,Substation
103,S04,7103.53,4687.96,0.0,Substation
104,S05,10970.02,7598.25,0.0,Substation
105,S06,7601.26,3222.5,0.0,Substation
106,S07,3852.75,5330.43,0.0,Substation
107,S08,1707.95,3136.74,0.0,Substation
num_vessels,6
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,8
