Node,ID,X,Y,Demand,Kind
0,T01,7085.08,10701.52,2.65,Turbine
1,T02,6231.8,5986.46,0.75,Turbine
2,T03,10269.25,9892.26,2.41,Turbine
3,T04,9507.1,10931.84,1.73,Turbine
4,T05,5727.13,3682.45,1.09,Turbine
5,T06,6356.81,2474.22,1.11,Turbine
6,T07,3661.85,2643.14,2.27,Turbine
7,T08,6842.8,1846.63,0.62,Turbine
8,T09,4289.99,5236.6,2.95,Turbine
9,T10,3864.19,10544.25,1.98,Turbine
10,T11,6684.44,11758.49,2.15,Turbine
11,T12,586.24,8918.95,2.89,Turbine
12,T13,5152.99,3246.7,1.98,Turbine
13,T14,1759.95,9092.87,1.25,Turbine
14,T15,8613.47,2485.3,2.23,Turbine
15,T16,6510.48,3260.37,1.92,Turbine
16,T17,4850.98,3050.61,1.71,Turbine
17,T18,6097.66,8173.19,1.15,Turbine
18,T19,7633.78,2213.15,1.48,Turbine
19,T20,994.07,7279.48,2.61,Turbine
20,T21,336.68,6888.85,2.95,Turbine
21,T22,10432.1,11684.8,1.45,Turbine
22,T23,9502.99,6278.34,1.19,Turbine
23,T24,9409.74,10186.91,2.74,Turbine
24,T25,550.16,5329.88,0.92,Turbine
25,T26,8642.3,3916.61,0.71,Turbine
26,T27,983.54,3249.93,1.52,Turbine
27,T28,11073.78,10810.93,2.2,Turbine
28,T29,10735.32,2804.92,1.68,Turbine
29,T30,3562.25,8456.87,0.71,Turbine
30,T31,6894.71,9459.79,2.68,Turbine
31,T32,545.14,3607.92,2.29,Turbine
32,T33,9020.59,2448.18,2.47,Turbine
33,T34,1922.17,7647.45,2.42,Turbine
34,T35,10196.92,992.83,1.36,Turbine
35,T36,9955.45,1887.44,0.68,Turbine
36,T37,3051.65,2732.95,1.47,Turbine
37,T38,11761.94,4717.77,0.75,Turbine
38,T39,6743.07,693.99,1.14,Turbine
39,T40,10485.48,9573.86,1.76,Turbine
40,T41,5641.0,11275.87,1.72,Turbine
41,T42,10100.91,4908.58,1.1,Turbine
42,T43,10034.53,431.45,2.3,Turbine
43,T44,4985.37,2014.56,0.54,Turbine
44,T45,1590.85,485.42,2.51,Turbine
45,T46,4436.36,6903.38,1.21,Turbine
46,T47,10692.12,8278.82,0.63,Turbine
47,T48,8331.6,4068.37,2.72,Turbine
48,T49,2165.55,449.87,1.08,Turbine
49,T50,11695.65,3625.08,0.82,Turbine
50,T51,8232.91,4954.15,0.73,Turbine
51,T52,10458.48,2569.75,2.64,Turbine
52,T53,4254.88,8431.51,1.93,Turbine
53,T54,7775.3,6437.83,0.96,Turbine
54,T55,7554.9,11101.04,0.75,Turbine
55,T56,7124.94,6326.33,1.15,Turbine
56,T57,1175.38,10361.87,2.98,Turbine
57,T58,945.28,3627.15,1.85,Turbine
58,T59,9225.09,4353.06,1.32,Turbine
59,T60,10424.23,5568.24,2.74,Turbine
60,T61,6654.21,2865.27,1.46,Turbine
61,T62,3751.94,2073.87,2.32,Turbine
62,T63,5325.48,8079.13,0.92,Turbine
63,T64,4530.59,10540.19,1.24,Turbine
64,T65,4591.88,11366.43,1.57,Turbine
65,T66,3335.78,7275.24,1.27,Turbine
66,T67,3221.58,5504.78,2.7,Turbine
67,T68,9682.7,3535.44,2.77,Turbine
68,T69,3583.15,5092.57,1.8,Turbine
69,T70,189.17,3096.29,2.25,Turbine
70,T71,7143.2,858.53,0.59,Turbine
71,T72,2237.11,1677.74,2.96,Turbine
72,T73,5791.54,11546.5,1.8,Turbine
73,T74,3354.02,2016.5,0.86,Turbine
74,T75,454.99,4494.82,2.6,Turbine
75,T76,7405.7,5358.51,0.73,Turbine
76,T77,10919.78,1700.72,2.55,Turbine
77,T78,10122.14,11941.09,1.61,Turbine
78,T79,2588.09,8860.15,1.39,Turbine
79,T80,11786.68,9043.19,0.72,Turbine
80,T81,221.38,10043.56,2.4,Turbine
81,T82,67.76,2702.21,1.63,Turbine
82,T83,11480.58,8467.05,2.38,Turbine
83,T84,5751.09,5476.59,1.72,Turbine
84,T85,3566.9,4634.54,2.77,Turbine
85,T86,10467.4,2233.21,3.0,Turbine
86,T87,10546.71,5284.71,1.74,Turbine
87,T88,453.83,3900.24,0.62,Turbine
88,T89,1943.91,6363.96,0.83,Turbine
89,T90,9198.7,1743.63,2.68,Turbine
90,T91,5806.21,3999.61,2.71,Turbine
91,T92,7106.51,11178.15,2.28,Turbine
92,T93,5551.58,3463.55,0.85,Turbine
93,T94,4771.9,8082.14,1.04,Turbine
94,T95,10419.55,1416.91,0.61,Turbine
95,T96,5837.03,1864.15,2.46,Turbine
96,T97,6791.58,985.42,0.65,Turbine
97,T98,1338.39,415.39,0.98,Turbine
98,T99,6022.81,10187.5,2.12,Turbine
99,T100,243.85,9720.42,2.88,Turbine
100,S01,5861.86,6675.98,0.0,Substation
101,S02,10471.49,11302.02,0.0,Substation
102,S03,5689.11,3141.49,0.0,Substation
103,S04,7327.67,1866.21,0.0,Substation
104,S05,6806.77,10645.2,0.0,Substation
105,S06,4785.79,8680.02,0.0,Substation
106,S07,6768.76,7102.67,0.0,Substation
107,S08,10019.11,3999.4,0.0,Substation
108,S09,5219.61,5053.7,0.0,Substation
109,S10,9641.99,9463.92,0.0,Substation
num_vessels,8
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,8
