Node,ID,X,Y,Demand,Kind
0,T01,4160.82,7336.46,2.4,Turbine
1,T02,7841.72,5350.98,1.02,Turbine
2,T03,182.21,5807.92,1.93,Turbine
3,T04,6341.86,4224.75,1.49,Turbine
4,T05,8217.23,2822.23,2.26,Turbine
5,T06,7196.62,5878.24,1.81,Turbine
6,T07,4741.46,10354.37,0.54,Turbine
7,T08,3261.26,3223.17,1.12,Turbine
8,T09,5921.69,6740.24,1.2,Turbine
9,T10,1691.78,6992.5,2.18,Turbine
10,T11,2007.03,1403.16,1.86,Turbine
11,T12,1033.53,4034.89,2.32,Turbine
12,T13,3228.95,6264.98,1.69,Turbine
13,T14,6451.97,10004.17,0.73,Turbine
14,T15,2793.63,11449.89,2.61,Turbine
15,T16,4227.04,687.17,1.16,Turbine
16,T17,4040.14,10808.55,2.18,Turbine
17,T18,10841.5,6038.66,1.88,Turbine
18,T19,1077.38,1994.72,1.13,Turbine
19,T20,1456.97,8939.66,2.38,Turbine
20,T21,2351.08,5834.27,1.65,Turbine
21,T22,2477.45,10181.78,0.67,Turbine
22,T23,6808.24,11012.51,0.69,Turbine
23,T24,2814.56,5243.7,0.83,Turbine
24,T25,3669.81,5320.72,1.65,Turbine
25,T26,2476.62,2757.17,0.5,Turbine
26,T27,3286.77,3534.3,1.59,Turbine
27,T28,1982.94,2145.19,2.62,Turbine
28,T29,4602.94,11706.5,2.98,Turbine
29,T30,11160.05,7868.35,2.27,Turbine
30,T31,1799.96,4503.86,1.01,Turbine
31,T32,3599.16,2864.98,2.51,Turbine
32,T33,6270.63,11236.81,2.8,Turbine
33,T34,5701.87,10819.92,1.57,Turbine
34,T35,11901.0,10638.53,0.89,Turbine
35,T36,9117.47,4282.05,0.61,Turbine
36,T37,5130.72,5204.72,1.29,Turbine
37,T38,9847.85,6079.14,1.15,Turbine
38,T39,7101.4,2426.43,0.63,Turbine
39,T40,7026.8,8606.95,1.87,Turbine
40,T41,10371.47,7057.61,0.81,Turbine
41,T42,10347.87,9504.68,2.72,Turbine
42,T43,830.8,1581.67,1.74,Turbine
43,T44,2334.65,1337.84,2.08,Turbine
44,T45,8881.94,6272.49,2.45,Turbine
45,T46,7977.6,2390.68,1.43,Turbine
46,T47,1782.13,9491.07,0.73,Turbine
47,T48,1285.94,11889.5,1.35,Turbine
48,T49,7141.11,10235.53,1.09,Turbine
49,T50,11903.97,5369.21,1.65,Turbine
50,T51,5851.35,7061.31,0.67,Turbine
51,T52,11956.74,5689.3,1.08,Turbine
52,T53,6120.52,8045.95,2.99,Turbine
53,T54,10288.54,5604.56,1.41,Turbine
54,T55,11341.9,5633.18,1.56,Turbine
55,T56,11756.37,7605.38,2.2,Turbine
56,T57,5199.43,8248.64,0.9,Turbine
57,T58,8787.06,11246.96,0.9,Turbine
58,T59,495.77,5889.67,1.1,Turbine
59,T60,10858.04,6459.2,1.76,Turbine
60,T61,9829.67,654.7,2.33,Turbine
61,T62,11815.07,10302.06,2.6,Turbine
62,T63,2706.88,7686.28,1.89,Turbine
63,T64,9211.57,3540.82,2.07,Turbine
64,T65,4634.84,8127.37,1.01,Turbine
65,T66,4598.65,9404.38,1.13,Turbine
66,T67,7413.9,2436.73,2.1,Turbine
67,T68,9141.56,11319.98,2.53,Turbine
68,T69,90.47,8382.62,2.49,Turbine
69,T70,3569.84,10079.01,0.73,Turbine
70,T71,3627.55,5893.42,2.02,Turbine
71,T72,10866.85,2914.36,2.34,Turbine
72,T73,3070.67,9886.57,1.19,Turbine
73,T74,7392.53,8772.57,0.68,Turbine
74,T75,11629.65,7940.83,1.02,Turbine
75,T76,11343.62,2765.04,0.88,Turbine
76,T77,11611.64,809.2,2.31,Turbine
77,T78,10322.4,8821.72,1.15,Turbine
78,T79,9113.99,5420.21,0.95,Turbine
79,T80,7758.32,7785.07,2.79,Turbine
80,T81,6748.24,984.28,1.14,Turbine
81,T82,5927.88,3192.3,2.32,Turbine
82,T83,6150.76,3601.36,2.6,Turbine
83,T84,9547.37,3281.25,1.31,Turbine
84,T85,1307.3,2369.87,1.54,Turbine
85,T86,8631.16,1840.36,2.22,Turbine
86,T87,4798.68,835.37,2.25,Turbine
87,T88,9516.13,7425.08,1.84,Turbine
88,T89,3462.12,964.05,2.87,Turbine
89,T90,5520.95,3450.34,1.01,Turbine
90,T91,9416.57,11974.6,2.33,Turbine
91,T92,3717.2,6337.48,1.17,Turbine
92,T93,6241.63,10929.95,0.99,Turbine
93,T94,10774.66,9312.54,2.44,Turbine
94,T95,7449.72,9852.32,2.93,Turbine
95,T96,3243.09,2389.1,2.01,Turbine
96,T97,4108.14,5976.52,2.76,Turbine
97,T98,4536.93,5252.63,1.9,Turbine
98,T99,466.98,5336.25,1.33,Turbine
99,T100,58.98,4853.39,0.6,Turbine
100,S01,1720.6,11639.95,0.0,Substation
101,S02,3700.25,3990.58,0.0,Substation
102,S03,322.29,11935.16,0.0,Substation
103,S04,3308.13,757.94,0.0,Substation
104,S05,5696.23,2694.71,0.0,Substation
105,S06,6493.93,1237.1,0.0,Substation
106,S07,1081.83,7077.35,0.0,Substation
107,S08,3122.86,5012.87,0.0,Substation
108,S09,11462.79,4318.52,0.0,Substation
109,S10,4973.99,10104.06,0.0,Substation
num_vessels,6
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,5
