Node,ID,X,Y,Demand,Kind
0,T01,9867.65,1562.04,2.79,Turbine
1,T02,3754.34,2661.09,2.33,Turbine
2,T03,6806.92,9007.62,0.89,Turbine
3,T04,2600.63,11381.95,2.56,Turbine
4,T05,5113.77,3668.23,2.43,Turbine
5,T06,9758.16,483.57,2.72,Turbine
6,T07,4867.72,8202.22,1.38,Turbine
7,T08,4611.34,5881.18,2.57,Turbine
8,T09,7322.87,9251.47,2.75,Turbine
9,T10,11308.83,1451.08,1.02,Turbine
10,T11,3786.45,5826.77,2.22,Turbine
11,T12,11241.0,9175.32,1.73,Turbine
12,T13,5536.66,3558.24,1.9,Turbine
13,T14,5898.41,927.89,2.79,Turbine
14,T15,6542.04,9498.78,2.53,Turbine
15,T16,5840.21,8918.54,2.49,Turbine
16,T17,3480.05,3281.87,1.98,Turbine
17,T18,5841.14,3551.0,0.96,Turbine
18,T19,3850.11,4772.95,2.04,Turbine
19,T20,3526.92,3599.37,1.65,Turbine
20,T21,4104.41,2618.83,1.94,Turbine
21,T22,5142.47,7878.84,0.66,Turbine
22,T23,3714.13,1681.82,1.5,Turbine
23,T24,5762.85,4545.88,1.82,Turbine
24,T25,3540.03,2463.76,1.63,Turbine
25,T26,4790.1,7613.67,2.47,Turbine
26,T27,10132.49,2067.3,2.71,Turbine
27,T28,4732.05,3554.19,2.46,Turbine
28,T29,5831.55,1517.69,0.74,Turbine
29,T30,4388.53,7696.8,1.68,Turbine
30,T31,2772.13,10535.01,2.45,Turbine
31,T32,4614.21,8243.04,1.67,Turbine
32,T33,3812.72,10802.58,1.66,Turbine
33,T34,4446.15,5362.27,1.96,Turbine
34,T35,6454.35,4091.04,1.76,Turbine
35,T36,5189.89,7347.47,1.65,Turbine
36,T37,7075.61,9680.27,2.95,Turbine
37,T38,3550.54,2888.12,1.67,Turbine
38,T39,10611.74,9181.61,1.22,Turbine
39,T40,3371.7,11261.53,1.02,Turbine
40,T41,3638.47,11240.09,0.53,Turbine
41,T42,11118.48,9623.16,0.84,Turbine
42,T43,10543.03,10194.32,1.14,Turbine
43,T44,5476.34,1308.02,0.87,Turbine
44,T45,5235.17,1472.61,2.26,Turbine
45,T46,5393.87,761.86,0.57,Turbine
46,T47,5530.97,9568.73,0.97,Turbine
47,T48,4759.42,7035.5,1.38,Turbine
48,T49,6104.62,1384.08,0.57,Turbine
49,T50,3154.61,10986.46,0.81,Turbine
50,T51,10677.77,1472.89,1.27,Turbine
51,T52,4128.19,8062.93,2.1,Turbine
52,T53,3684.95,8058.12,1.36,Turbine
53,T54,10760.64,1058.46,1.93,Turbine
54,T55,10392.26,9584.06,2.25,Turbine
55,T56,10020.7,1105.86,1.13,Turbine
56,T57,6178.35,8508.3,2.11,Turbine
57,T58,3772.81,3484.16,1.05,Turbine
58,T59,6996.19,7806.1,2.25,Turbine
59,T60,4758.01,5364.82,1.71,Turbine
60,T61,5916.19,1213.65,1.92,Turbine
61,T62,3329.04,10404.68,0.77,Turbine
62,T63,4093.42,3347.94,1.52,Turbine
63,T64,4565.56,5060.66,0.79,Turbine
64,T65,10559.53,767.58,2.61,Turbine
65,T66,4538.54,5613.46,1.54,Turbine
66,T67,9979.64,659.86,0.87,Turbine
67,T68,2836.07,2387.51,2.89,Turbine
68,T69,2881.28,10991.98,1.4,Turbine
69,T70,6590.34,9135.58,1.03,Turbine
70,T71,1983.64,9902.29,1.82,Turbine
71,T72,5399.0,811.41,2.55,Turbine
72,T73,3634.99,7323.99,2.68,Turbine
73,T74,6794.86,5923.41,2.08,Turbine
74,T75,5938.36,8109.72,1.87,Turbine
75,T76,630.06,11952.47,2.99,Turbine
76,T77,7736.27,5817.83,1.54,Turbine
77,T78,3025.17,7787.91,1.95,Turbine
78,T79,7327.4,2785.97,0.77,Turbine
79,T80,10102.85,1303.81,2.33,Turbine
80,T81,2810.21,6935.44,2.28,Turbine
81,T82,9838.28,8660.87,1.77,Turbine
82,T83,2221.66,7409.87,2.02,Turbine
83,T84,6562.87,7903.86,1.75,Turbine
84,T85,115.45,11145.99,1.89,Turbine
85,T86,2971.08,2298.44,2.8,Turbine
86,T87,9910.84,631.7,1.36,Turbine
87,T88,1273.49,1771.03,2.66,Turbine
88,T89,7356.45,6481.3,2.23,Turbine
89,T90,8970.4,9041.96,2.61,Turbine
90,T91,224.31,4796.54,0.99,Turbine
91,T92,580.56,5809.02,1.5,Turbine
92,T93,5289.76,4024.0,0.81,Turbine
93,T94,1828.22,6853.81,2.03,Turbine
94,T95,11070.67,315.39,1.39,Turbine
95,T96,6526.86,1695.55,2.38,Turbine
96,T97,5908.83,3684.2,2.32,Turbine
97,T98,11487.18,7559.4,1.39,Turbine
98,T99,7097.51,7840.75,0.82,Turbine
99,T100,9817.62,10717.26,1.53,Turbine
100,S01,1191.47,9403.75,0.0,Substation
101,S02,8705.13,10721.75,0.0,Substation
102,S03,9412.42,9177.84,0.0,Substation
103,S04,3747.7,10443.13,0.0,Substation
104,S05,6403.84,6621.07,0.0,Substation
105,S06,7491.05,7907.13,0.0,Substation
106,S07,2056.03,1714.94,0.0,Substation
107,S08,5193.61,9364.41,0.0,Substation
num_vessels,10
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,8
