Node,ID,X,Y,Demand,Kind
0,T01,3188.88,3230.39,1.85,Turbine
1,T02,1792.71,9732.25,0.68,Turbine
2,T03,1659.94,9159.41,1.09,Turbine
3,T04,9672.33,1047.54,2.04,Turbine
4,T05,3792.04,10398.35,1.31,Turbine
5,T06,7388.19,8559.85,1.21,Turbine
6,T07,7323.62,8204.62,0.64,Turbine
7,T08,10567.11,9422.08,2.56,Turbine
8,T09,947.83,9005.57,2.16,Turbine
9,T10,2617.65,9781.84,0.67,Turbine
10,T11,4002.39,3620.06,1.56,Turbine
11,T12,5227.47,7029.45,2.4,Turbine
12,T13,2199.29,9765.69,1.7,Turbine
13,T14,9813.88,10011.69,0.58,Turbine
14,T15,3398.38,6792.18,0.57,Turbine
15,T16,10097.81,2149.49,1.11,Turbine
16,T17,2167.74,10440.88,2.56,Turbine
17,T18,1826.37,8619.99,1.03,Turbine
18,T19,4785.78,7243.51,0.94,Turbine
19,T20,3708.23,3500.45,1.74,Turbine
20,T21,4079.49,10059.23,1.52,Turbine
21,T22,3646.4,3988.56,2.14,Turbine
22,T23,8027.17,3502.86,0.64,Turbine
23,T24,3886.57,5019.94,0.97,Turbine
24,T25,657.05,9410.25,2.56,Turbine
25,T26,602.03,8896.32,1.57,Turbine
26,T27,4754.88,6649.99,2.92,Turbine
27,T28,11227.78,9335.18,1.95,Turbine
28,T29,4477.08,7151.58,0.99,Turbine
29,T30,1437.34,9336.34,0.7,Turbine
30,T31,4129.08,6947.97,1.17,Turbine
31,T32,8310.78,3763.28,1.96,Turbine
32,T33,7382.35,3891.76,1.8,Turbine
33,T34,9270.4,932.96,2.43,Turbine
34,T35,3566.71,10633.73,2.47,Turbine
35,T36,8305.94,3155.67,1.44,Turbine
36,T37,389.18,8635.19,1.36,Turbine
37,T38,10829.21,8704.73,1.29,Turbine
38,T39,3869.86,6280.85,1.23,Turbine
39,T40,9652.84,2105.94,1.45,Turbine
40,T41,3494.6,4360.32,2.42,Turbine
41,T42,7722.68,4257.57,1.72,Turbine
42,T43,10282.86,9825.07,2.37,Turbine
43,T44,1068.03,9856.83,0.53,Turbine
44,T45,1323.18,8733.21,1.57,Turbine
45,T46,8188.71,8223.36,0.92,Turbine
46,T47,3127.7,11072.12,1.62,Turbine
47,T48,3162.01,10670.38,2.71,Turbine
48,T49,1886.74,9268.04,1.95,Turbine
49,T50,10221.22,1094.8,2.94,Turbine
50,T51,10224.89,1704.19,2.65,Turbine
51,T52,1013.61,8471.82,1.91,Turbine
52,T53,1133.73,9506.29,2.7,Turbine
53,T54,7542.17,7878.81,1.07,Turbine
54,T55,3029.35,9552.14,2.1,Turbine
55,T56,8256.66,4445.26,2.6,Turbine
56,T57,8039.1,7764.57,1.7,Turbine
57,T58,8294.46,4184.7,2.9,Turbine
58,T59,1421.31,9700.13,1.49,Turbine
59,T60,10762.15,10477.08,1.59,Turbine
60,T61,10759.96,1462.77,1.81,Turbine
61,T62,9886.19,9054.95,3.0,Turbine
62,T63,1686.05,8877.61,1.29,Turbine
63,T64,4750.38,7551.82,0.73,Turbine
64,T65,8933.47,3569.61,0.9,Turbine
65,T66,2202.91,9465.55,1.13,Turbine
66,T67,8707.43,3375.96,1.51,Turbine
67,T68,1329.16,8249.07,1.52,Turbine
68,T69,7900.28,3093.12,1.6,Turbine
69,T70,7195.21,3651.88,2.52,Turbine
70,T71,5443.94,2095.27,1.1,Turbine
71,T72,11547.77,8465.46,2.27,Turbine
72,T73,9215.22,7753.58,2.02,Turbine
73,T74,7824.35,5454.28,1.16,Turbine
74,T75,9468.51,10017.73,2.75,Turbine
75,T76,3537.16,8080.19,1.49,Turbine
76,T77,7467.5,9172.08,1.16,Turbine
77,T78,9763.33,775.18,2.28,Turbine
78,T79,2660.1,11459.28,2.69,Turbine
79,T80,6796.3,1065.32,2.84,Turbine
80,T81,3183.53,4148.81,2.45,Turbine
81,T82,10656.27,7929.26,1.43,Turbine
82,T83,7773.2,1521.8,0.74,Turbine
83,T84,1339.02,8756.53,2.43,Turbine
84,T85,3247.23,5561.31,1.78,Turbine
85,T86,7350.41,1056.23,0.81,Turbine
86,T87,10399.54,9771.31,2.45,Turbine
87,T88,10266.31,2232.45,2.91,Turbine
88,T89,9471.59,5309.86,1.9,Turbine
89,T90,8473.83,11164.08,0.84,Turbine
90,T91,2161.51,1413.76,2.96,Turbine
91,T92,4499.33,10178.1,2.26,Turbine
92,T93,4915.07,3730.7,2.12,Turbine
93,T94,2104.1,11566.57,2.25,Turbine
94,T95,4461.49,4371.97,0.54,Turbine
95,T96,9238.14,4830.5,2.86,Turbine
96,T97,11865.75,6093.78,2.12,Turbine
97,T98,4574.45,9801.11,2.62,Turbine
98,T99,8384.02,5880.88,1.94,Turbine
99,T100,9244.59,2569.52,1.59,Turbine
100,S01,11223.79,2021.28,0.0,Substation
101,S02,4040.47,11376.82,0.0,Substation
102,S03,7574.81,3510.92,0.0,Substation
103,S04,6909.81,8437.94,0.0,Substation
104,S05,4007.02,5830.69,0.0,Substation
105,S06,8461.97,10028.75,0.0,Substation
106,S07,5170.96,4334.11,0.0,Substation
107,S08,1887.13,4310.04,0.0,Substation
num_vessels,10
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,5
