Node,ID,X,Y,Demand,Kind
0,T01,9988.44,4885.86,1.73,Turbine
1,T02,11180.23,4561.25,2.57,Turbine
2,T03,9035.5,1000.31,2.35,Turbine
3,T04,9121.19,5444.84,2.01,Turbine
4,T05,8651.96,4690.39,0.75,Turbine
5,T06,10343.52,4287.77,1.41,Turbine
6,T07,8825.36,7209.11,1.81,Turbine
7,T08,8664.18,6880.88,2.64,Turbine
8,T09,9539.3,4744.2,2.19,Turbine
9,T10,10763.21,4175.66,2.82,Turbine
10,S01,10361.17,6098.85,0.0,Substation
11,S02,9820.49,1156.29,0.0,Substation
12,S03,11094.34,2393.35,0.0,Substation
num_vessels,4
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,3
