Node,ID,X,Y,Demand,Kind
0,T01,6408.39,8647.11,1.32,Turbine
1,T02,6586.62,9065.85,2.68,Turbine
2,T03,6032.03,8611.78,0.92,Turbine
3,T04,5042.1,9257.86,2.21,Turbine
4,T05,6616.47,7112.94,0.84,Turbine
5,T06,3099.91,9502.89,1.09,Turbine
6,T07,6218.39,6923.08,1.81,Turbine
7,T08,2454.71,9732.85,2.71,Turbine
8,T09,7072.81,9250.85,2.55,Turbine
9,T10,5369.14,7698.2,1.21,Turbine
10,T11,5372.95,9683.75,2.2,Turbine
11,T12,4772.8,10031.51,0.78,Turbine
12,T13,5846.53,6724.06,1.66,Turbine
13,T14,2357.15,8714.77,2.46,Turbine
14,T15,2377.25,8110.72,2.71,Turbine
15,S01,2699.16,7806.1,0.0,Substation
16,S02,5977.16,8970.54,0.0,Substation
17,S03,2818.43,7348.05,0.0,Substation
18,S04,6579.82,7428.29,0.0,Substation
19,S05,4105.2,8775.01,0.0,Substation
num_vessels,4
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,7
