Node,ID,X,Y,Demand,Kind
0,T01,2288.5,2117.53,2.99,Turbine
1,T02,4266.83,10458.07,1.17,Turbine
2,T03,1767.67,268.24,2.97,Turbine
3,T04,8377.8,7390.36,2.73,Turbine
4,T05,2591.27,11514.72,2.3,Turbine
5,T06,10964.4,654.08,2.4,Turbine
6,T07,7399.03,1130.03,1.62,Turbine
7,T08,1141.85,9814.0,1.95,Turbine
8,T09,3956.81,1140.02,1.89,Turbine
9,T10,668.1,778.81,1.31,Turbine
10,T11,5528.74,9053.71,1.87,Turbine
11,T12,11400.45,6083.06,2.39,Turbine
12,T13,8654.08,4951.25,2.18,Turbine
13,T14,967.39,3444.17,2.13,Turbine
14,T15,10209.67,4005.86,2.21,Turbine
15,S01,5014.76,8186.87,0.0,Substation
16,S02,4281.94,8353.39,0.0,Substation
17,S03,4341.07,9300.75,0.0,Substation
18,S04,1492.21,8331.96,0.0,Substation
num_vessels,5
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,3
