Node,ID,X,Y,Demand,Kind
0,T01,1190.04,4245.4,2.09,Turbine
1,T02,10449.39,9527.82,0.63,Turbine
2,T03,2203.2,3186.17,2.0,Turbine
3,T04,8414.28,11779.75,2.45,Turbine
4,T05,7106.96,3475.27,0.88,Turbine
5,T06,367.55,5654.4,1.36,Turbine
6,T07,848.16,1733.76,0.71,Turbine
7,T08,9997.93,10553.34,0.67,Turbine
8,T09,8256.73,148.89,1.08,Turbine
9,T10,3882.19,10992.31,0.57,Turbine
10,S01,10326.45,7785.13,0.0,Substation
11,S02,8402.1,6659.03,0.0,Substation
12,S03,4958.85,4809.45,0.0,Substation
num_vessels,4
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,7
