Node,ID,X,Y,Demand,Kind
0,T01,10336.2,3008.18,1.15,Turbine
1,T02,11586.91,3299.71,2.69,Turbine
2,T03,9461.7,5074.54,0.85,Turbine
3,T04,9909.4,5572.01,2.17,Turbine
4,T05,10684.34,3406.98,0.63,Turbine
5,T06,11518.92,3008.69,1.85,Turbine
6,T07,10227.81,2465.2,1.21,Turbine
7,T08,10724.43,3099.71,1.85,Turbine
8,T09,9883.18,6238.71,2.48,Turbine
9,T10,10577.25,6179.97,2.24,Turbine
10,T11,6335.8,146.27,0.96,Turbine
11,T12,2664.65,5160.98,2.65,Turbine
12,T13,8638.58,4948.14,2.41,Turbine
13,T14,11528.37,11320.33,1.9,Turbine
14,T15,9887.28,10003.75,2.39,Turbine
15,S01,7070.8,984.8,0.0,Substation
16,S02,8847.24,3810.26,0.0,Substation
17,S03,5174.93,2476.48,0.0,Substation
18,S04,7149.48,5147.91,0.0,Substation
19,S05,7328.48,3646.09,0.0,Substation
num_vessels,4
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,3
