Node,ID,X,Y,Demand,Kind
0,T01,4912.45,8971.31,2.0,Turbine
1,T02,4956.5,3005.72,2.15,Turbine
2,T03,5551.3,10031.87,2.03,Turbine
3,T04,5964.5,3388.08,1.8,Turbine
4,T05,4994.53,10126.46,1.31,Turbine
5,T06,4123.69,9028.9,0.76,Turbine
6,T07,5826.13,3973.79,1.11,Turbine
7,T08,4701.06,6034.09,1.86,Turbine
8,T09,2246.29,5930.24,0.89,Turbine
9,T10,9866.13,320.54,1.0,Turbine
10,S01,7524.35,5429.64,0.0,Substation
11,S02,5008.04,2021.91,0.0,Substation
12,S03,6863.5,4396.92,0.0,Substation
num_vessels,3
charge_capacity,341
velocity,5
consumption_rate,0.016
vessel_cost,1000
station_cost,10000
sailing_cost,0.1
num_time_windows,7
